#B站推出青少年模式#,,,,
username,comment,interact,date,likes
凌行端方动若兔,挺好的,null,5-30 12:58,
海总的wink,这不是很好，早就该分年龄层了,null,5-30 12:56,
喜欢添福宝的破德粉,刚刚满十八岁的我逛b站也不评论，不刷弹幕，就平常捡点好玩的看看，追个番,null,5-30 12:56,1
方方方不钝,能给我成年人应有的待遇么天天迁就青少年,null,5-30 12:54,
WAThesea499,可以可以可以，我觉得可以,null,5-30 12:54,
day打卡,落实仍须加油，但比之以往可期待的更多了,null,5-30 12:43,
XO-CT,？当然不选择啊,null,5-30 12:43,
白杨树和无花果,@渌玦Leo_J 给你设置一个小学生模式，哈哈哈哈，让你还过儿童节,null,5-30 12:35,
夜游的恶鸟飞过了,挺好的呀，我已经成年了……,null,5-30 12:34,
L_oKa,挺好的,null,5-30 12:34,
丹丹-lily,很好啊,null,5-30 12:31,1
SUNAX_,@Vannn_b 从今天开始将为你设置青少年模式,null,5-30 12:28,
墨池有雨L,可是没人会给自己设置啊，而且未成年已经上大学了，00年代最大的已经19了,null,5-30 13:54,2
这个少女不野蛮丶,成年人模式，有成年人可以看的片吗？,null,5-30 13:08,2
ssfbvhjn,有啥用 这也不算真正意义上的分级,null,5-30 12:49,2
PerkzISApIGletYOUcry,b变味了,null,5-30 12:27,2
Stoodant,有个问题就是，我是成年人，我没有孩子，我的设备只可能有我自己一个人用，那么天天弹一次这个窗口真的让人极度不爽,null,5-30 14:44,3
827Noxian,nice,null,5-30 14:39,
要周游列国的kiki,我觉得蛮好的，可以在使用中慢慢调整改善,null,5-30 14:30,1
等我吃得饱饱的,有什么用，不良up不处理，不还是扭曲未成年三观,null,5-30 14:24,1
Suzy盐粉,要给B站打电话，各大网站、游戏都应该效仿，正确引导青少年成长。[机智],null,5-30 14:18,1
程程程程程家一位默默无闻的少女,还不如直接分级来得实在，上次看央视官微转发晋江被封的消息，他们在评论区挑选的几乎都是“分级”的评论。其实从事动漫游戏这一行久了，你会发现分级真的很有必要，而且对整个行业和社会都有着正向的影响。,null,5-30 14:07,2
西珍柚,请问如何给成年的自己设置这个,null,5-30 14:07,1
宇宙第一轰吹,身份证认证可以有吗？成年人模式可以有吗？卑微成年人想要一片天地,null,5-30 13:55,1
温润的贾先生,b站已经做了好多次的改变，是个越来越优秀的app 但总有人想搞我小破站,null,5-30 13:46,2
小鹿乱撞丶201211,我就问一句成年人模式是不是会有什么特别的东西,null,5-30 13:35,2
萌洋洋同学,这影响到我学唱、跳、Rap、篮球了嘛,null,5-30 13:12,1
慕斯麦·tutu,小破站真棒！其实用好了可以学到好多东西！,null,5-30 13:05,1
八点一课,只想问一句，未成年人模式没意见，成年人有没有什么说法，是不是分开来成年人就有东西看了？,共1条回复,5-30 12:57,1
世路多崎,回头给室友设置一个,null,5-30 12:52,1
豆包是推文博主,微博也推出了，但可以关闭，我刚发现,null,5-30 12:51,1
美炸天拾肥仔,🐂 业界良心,null,5-30 12:44,1
