#儿童砸钱充值手游#,,,,
username,comment,interact,date,likes
coTangent_,孩子偷钱去超市买零食，怪超市；偷钱买玩具，怪玩具厂家；偷钱进了少管所，怪法律，你们还可以怪自己挣钱呀，谁让你们挣钱的，不挣钱孩子还怎么偷；你们可以怪自己呀，你们不生孩子，他还怎么偷钱，你们还可以怪钱，怪那个万恶的发明钱的人。#不过实话说王者荣耀真的很好玩，我充了500块了[doge]#,共5条回复,2017-5-31,24
追梦de云儿,呵呵，腾讯的水军真不少，还有那些跟风装逼说腾讯没有责任的家里估计是没有小孩的吧,共89条回复,2017-5-31,32
养只猫叫暴暴,腾讯:这个锅我不背,null,2017-5-31,17
糖_Caroline,所以你自己不教育好孩子，纵容他玩手机怪腾讯？人家腾讯又没拿枪逼着你孩子玩主动性还是在你这啊，怪谁,共3条回复,2017-5-31,23
王怡_Yi,过年的时候我在家打撸，我还在读初中的表妹来我家，看到我在玩，很鄙视的说，你怎么连个皮肤都没有啊，我都买了50多个皮肤了……,共10条回复,2017-5-31,18
Ranka-Jia,之所以有强奸犯是因为女生穿的太暴露？是这个脑回路？,共2条回复,2017-5-31,22
思颖白着呢,这次挺腾讯！这锅腾讯不背！,共2条回复,2017-5-31,21
dooby朱,评论里面太多法盲和脑残！看了伤悲！顺便说一下腾讯真应该加大监管未成年的制度！因为现在很多家长管孩子真是力不从心！！！,共15条回复,2017-5-31,18
WANGDIKAI-,怪腾讯干嘛？ 怪你自己没有遮挡密码 怪你儿子太聪明 怪你在微信里放太多钱 怪腾讯让你用微信 怪你没你儿子的智商 下回去医院看看脑袋吧 别的位置先放一放。,共9条回复,2017-5-31,23
RNG夺取S联赛冠军再改名,你的孩子可能需要送到雷电法王杨永信那里去电一电！！！,null,2017-5-31,13
一点喜欢h,能告赢才怪吧，自己儿子偷钱充游戏怪腾讯？？？腾讯又没有刀架你脖子上让你必须游戏冲钱，这锅腾讯才不背呢，你儿子买刀杀了人难道要怪卖刀的？嗯按这个想法来说，你更应该告你自己为何生出个呢样的儿子让他长大偷钱玩游戏,共6条回复,2017-5-31,14
追风少年猪猪仔,手机也算帮凶把手机也告了吧 没有手机怎么发红包,共1条回复,2017-5-31,11
lllIllIIIlllIlIlIIIIIllI,我小时候偷家里几块钱买零食被打了一顿，从此再也没敢偷过。现在的孩子，偷家里上万充游戏，不是教育问题，反倒是游戏的问题了？孩子年幼，做出的充值交易法律不承认，运营商有义务退还充值的钱款，但也仅仅是退还而已，这家长显然想敲竹杠了，事情被爆出来说明运营商不傻，就不跟你私了，法庭见,null,2017-5-31,19
珈-on-line,游戏进入画面有个提醒写着是未成年不可以玩么 腾讯应该告家长敲诈,null,2017-5-31,17
鄙人姓刘,原因的原因不是原因，总不能说有人拿西瓜刀杀了人，就把卖西瓜刀的抓起来吧？,共3条回复,2017-5-31,13
南海一派,家长的素质和能力跟不上时代了。,共2条回复,2017-5-31,13
_宁宁子_,腾讯：你tm还要我咋完善？？？！办法总比困难多不知道吗我还要替所有家长看孩子吗？？？两个监护人管一个都不能管住 我？？？【心疼腾讯,null,2017-5-31,13
苍天绕过谁丨,#儿童砸钱充值手游# 多大点事啊 用指纹支付不就好了你儿子总不会剁了你的手指去付钱吧,null,2017-5-31,9
大亮阿,孩子，只要你不打王者荣耀干什么叔叔都支持你。,null,2017-6-1,8
高兴的狗子,不看好手机怪不得排位赛不好上，小学生玩游戏，不怕我骂他吗？,null,2017-6-1,7
书彦菌,跟游戏有什么关系？为什么老让游戏背锅，难道不是家教的缺失吗,共3条回复,2017-5-31,12
咩咩朵朵喵喵,不设置手机密码支付密码，或者你直接告诉了你儿子手机密码和支付密码，能怪谁？你那么能咋不告自己呢,null,2017-5-31,11
好大一坨儿,支持诉讼，家长是有问题，但问题的本身是腾讯公司，开发的游戏确实要完善一下，未成年人自制力差，容易误入歧途！为了国家的未来，从娃娃抓起,null,2017-6-1,7
藏传法螺天珠,看到这些评论我的心是拔凉拔凉的，都不懂为人父母的苦心,共3条回复,2017-5-31,10
