#用二维码付款被身后人盗刷#,,,,
username,comment,interact,date,likes
超级萌的怪兽史瑞克呢,为什么总给犯罪分子打码，而其他守法老百姓不打码。,null,5-27 12:42,2
夸夸夸-----爱买衣服的小丫头,23号9：00产生一笔奇怪的费用130，9：27在浦东医院挂号费，10：07在浦东医院医药费。详情在评论区补充。 从黄埔税务局到浦东医院开车要52分钟。飞都飞不到吧。 所以，这笔奇怪的支出到底怎么来的？@支付宝 @蚂蚁金服客户中心,null,5-27 12:05,1
青白深蓝,我以为这个二维码实时更新，可是后来一想外面出租车或者便利店都是给的收款码，也就是说这个根本不更新，是吗？,null,5-27 12:04,1
超级萌的怪兽史瑞克呢,关闭免密支付。。,null,5-27 11:21,1
超级萌的怪兽史瑞克呢,前几天才看到警察提示别在收付款的时候提前点开二维码，这就出消息了，现在真的是要随时保持警惕才行,null,5-27 11:21,1
超级萌的怪兽史瑞克呢,实名制抢劫,null,5-27 11:20,1
九尾多保保险,#用二维码付款被身后人盗刷# 还有这种操作用二维码支付被盗刷，转账记录其实很快就能查到的吧,null,5-27 10:59,1
女乔子520,还好基本都用支付宝,null,5-27 10:43,1
他的依玖,这种人是不是忘了超市有监控？以为耍点小聪明就没人知道？,null,5-27 10:36,1
鹿兜女王,你咋这么机智呢！还不是要被警察叔叔抓走,null,5-27 09:54,1
Tao月半要做乖乖女,还是建议付款码改成实时的,共1条回复,5-27 09:52,1
想做鹿晗的orange,@Pluto程猪,null,5-27 09:20,1
WHY月光如水,钱包里偷不到钱了就玩出新花样,null,5-27 09:07,2
把你深藏于心,卧槽还能这样,共1条回复,5-27 09:05,1
素兰如墨,这还不如偷现金呢。。。他们是觉得查不到吗，现在可都是实名制啊,null,5-27 08:53,3
素心_suxin,牛逼，螳螂捕蝉 黄雀在后，实在是高，防不胜防！,null,5-27 08:53,1
是Choel嗎,@·澄澈· 小心,null,5-27 08:39,1
喜欢辣椒炒肉的Lay,不劳而获的人总是这么多,null,昨天 19:03,
天蓝云更舒,#用二维码付款被身后人盗刷# 新的一种盗窃方式。,null,昨天 15:51,
fairy小姐姐151,可是我试了试扫不出来难道我不是商家的事,null,昨天 15:10,
禾岩满庭香,警惕！用二维码付款 身后竟有人盗刷,null,昨天 15:05,
听说换id会变欧,我就没这个烦恼 ，毕竟里边的钱不超过50,null,昨天 15:03,
yuhong星双翼,转发微博,null,5-27 14:21,
巴里斯莫基,这种真的很危险，不要那么快拿出来先,null,5-27 13:58,
VanishVei,我想知道如何处罚他，得交个几倍的罚款，做劳役去,null,5-27 13:58,
q1286250636,应该叫明抢才对吧！！,null,5-27 13:56,
q1286250636,支付系统到底还是不完善，还有漏洞啊！！,null,5-27 13:55,
婴儿蓝xyh,是怎么盗刷的？拿着超市收银那种机器吗,null,5-27 13:19,
环评交流学习,我早就有这种预感，会有人这么干，每次我打开付款码的时候都是遮挡住的。,null,5-27 13:12,
