#小学生打赏游戏主播#,,,,
username,comment,interact,date,likes
GAYOSHIDE佳树本人的微博,我觉得这时候应该对他用冷暴力。,null,2017-5-28,
闪闪的奇妙冒险,12岁不小了，我12上六年级了，我爸开始知道我长大有自尊心了，做错事也不能拿起东西就打，不可以拿我跟别人的孩子比在外人面前数落我了，我妈也知道少赚点钱降低生活质量也要多陪陪我，那个年龄都有点沉迷的东西、追星和沉迷网聊她也支持和引导我，从叛逆又厌世到知道上进和感恩，差不多都是在十二三岁,null,2017-5-28,3
我有一个傻黑甜,还好我怎么学都学不会这个游戏,null,2017-5-28,2
做人呢_最要紧的是开心,龙珠直播是正规平台。别黑平台。主播如果不签约的话收益基本就靠礼物了，如果换成其它主播可能根本就不接你电话，何况他还愿意退回。这个主播人品不错。这个行业是新兴产业，就像十年前的网吧一样，很多人不理解甚至厌弃，但是我相信以后实名制慢慢规范后它会减少未成年的观众而且被大众接受。,null,2017-5-28,2
Mr里股,我认为实名认证，身份认证太有用了，未满18周岁，直接限制,null,2017-5-29,1
ooo桀ooo,这么好的孩子，就应该一棒子被打死！！活着有什么意思？传说中的小学生，呵呵，脑残！别长大了后祸害社会！,null,2017-5-29,1
DODODOUDODO,主播不是未成年辣，只是声音比较萌鹅以o(≧v≦)o,null,2017-5-28,1
兰晴Ashley,现在这些网红赚钱手段真是绝了……,null,2017-5-28,1
s牧羊犬,这小孩子虚荣，无知，脾气大，还撒谎。,null,2017-5-28,2
茨威格5577678362,现在的诱惑太多，父母和孩子平时更要注重共同交流，教育好孩子,null,2017-5-28,2
Alan艾伦极致色彩,心疼父母,null,2017-5-30,
Simon茜蒙,@Leewuchen,null,2017-5-30,
木子Iron,这娃儿 有出息,null,2017-5-29,
姐忧么为有抱腹,虚荣心真的有，但是我并没有那么严重充很多吧，后来玩游戏充钱会充，都有克制不会拿着麻麻的卡乱充个好几万，你特么小学生就是傻充那么多不被打才怪了。小学生就是对钱没有概念，觉得自己就要花，那种很强的欲望他们控制不了,null,2017-5-29,
姐忧么为有抱腹,虚荣心真的有，但是我并没有那么严重充很多吧，后来玩游戏充钱会充，都有克制不会拿着麻麻的卡乱充个好几万，你特么小学生就是傻充那么多不被打才怪了。小学生就是对钱没有概念，觉得自己就要花，那种很强的欲望他们控制不了,null,2017-5-29,
姐忧么为有抱腹,我初中的时候也这样打赏过主播，是个k歌直播的里面，也是送什么车可以当管理。然后我就真的充钱了，为了当个管理员。虚荣心真的有，但是我并没有那么严重充很多吧，后来玩游戏充钱会充,null,2017-5-29,
pan_da熊,@Mcc麦小迪 你打d农药,null,2017-5-29,
努力让life变的精彩,孩子，从小要教育好,null,2017-5-29,
风恋106,@柚子先生Lyz,null,2017-5-28,
小家雀儿呀呀,唉 王者农药害人害己呀,null,2017-5-28,
彭思燕6039898437,我儿子现在快三岁了，对钱没什么概念，平时也不准家里老人给他拿，也不教他识大钱，要吃的东西都是买好给他的，不能自己拿钱去买。有一次，我带他出门前，他奶奶拿出来给他，他就拿两张一块给我。还有一次，他要去逛超市，我说只能叫爸爸给三块钱，结果他爸多给他一块，他都很开心的哈哈大笑。,null,2017-5-28,
也许你不知道233,又是小学生玩王者荣耀，说好的实名制呢,null,2017-5-28,1
Liu_悲客,18岁注册机制，实名制，拍照认证，指纹输入与身份证挂钩。输赢率45%以下销号，手机号注册与身份证一致。熊玩意，还治不了你！,null,2017-5-28,
林间郁儿,转发微博,null,2017-5-28,
丨WK丨,打他不是因为 花了钱 而是因为犯了错不承认 就应该打到不撒谎为止,null,2017-5-28,
woif-建军,其实很简单游戏设置人脸识别，登录游戏要本人才行，,null,2017-5-28,
学深也学浅,王者荣耀惹得祸,null,2017-5-28,1
佳火华amiable,唉，这个年龄段的孩子还真不好说……虽然很气但是还是好好引导吧。在这么多人面前扇他巴掌，自尊心会崩溃的。到时做出更叛逆的事就麻烦了,null,2017-5-28,
现在的我是明天的我,哎 这种孩子养着能有用吗,null,2017-5-28,
如果你是女神i,这个主播很赞。,null,2017-5-28,
仓鼠是汤圆,想到当初一个小女孩打赏一个男直播博主15万，你们怎么都这么大方，我要有这么多钱，肯定要好好珍惜的话，干嘛还这么拼命的赚钱累死累活的,null,2017-5-28,
眼镜行an,阿婆 还希望你当妈的起好带头作用@霍金俞,null,2017-5-28,
thusgj,如果是我，我是不会退的，那也是我挣的呀，真是，而且做就做了，还撒谎,null,2017-5-28,
115为谁拼搏,该打,null,2017-5-28,
_水靜猶明,这小孩就是傻B,null,2017-5-28,
麻麻爱肉丁,孩子怎么能动这笔钱？而且很明显又是往具体某个游戏上扣屎盆子。。。,null,2017-5-28,
你咋那么多事呢1,这种人真蠢，让人家带自己操作还不是没提升，要真想上分，慢慢打嘛，不经历坑逼队友怎知上分之不易啊！,null,2017-5-28,
琴音私语,@Viki永恒的微笑,null,2017-5-28,
一个蜗牛的家,吊起来打,null,2017-5-28,
横竖都是嘴,打孩子也是长有得事吧,null,2017-5-28,1
者乎云云,主播都还能有点恻隐之心愿意退钱，而这个小孩呢，刷自己母亲的血汗钱，一开始还打算否认，且一脸不知悔改的样子，真让人寒心,null,2017-5-28,
昂首-仰望,王者荣耀真是坑了一批孩子呦,null,2017-5-28,
念初心啦,王者荣耀害人害已,null,2017-5-28,
王焕小同学,打的好，自己父母辛辛苦苦攒下的钱被他挥霍了还光脾气，这么大的孩子不懂得心疼父母，该打！,null,2017-5-28,
你真是吵我戳耳,这种小孩就是废物,null,2017-5-28,
CospDigact,心疼这位妈妈……,null,2017-5-28,
l_十C,为什么现在的小孩子都知道密码,null,2017-5-28,
zoneing,问题还是在于父母与孩子之间的沟通，但是，我也不知道该怎么说了,null,2017-5-28,
蒂兰圣雪小鱼仔Daisy,总归教育出问题,null,2017-5-28,
Y小小小-y,呃，，，无奈。。,null,2017-5-28,
LJILIANG,强烈建议王者荣耀实名制,null,2017-5-28,
老子是小仙女syj,真是欠收拾,null,2017-5-28,
Mr_Sukiyaki,限制行为能力人订立的超出其行为能力的合同效力待定，监护人未追认，合同无效，钱依法可以退回,null,2017-5-28,
胡源-hy,心疼心疼心疼,null,2017-5-28,
nI7I7,直播平台弄个像支付宝这样的实名认证吧，怎么都感觉直播平台有要被“谴责”的节奏……@龙珠直播 @斗鱼直播平台 @虎牙直播 @熊猫直播 @触手直播平台,null,2017-5-28,
名字咋那么难取啊,与年龄无关 无论多大 孝都应是第一位,null,2017-5-28,
跑到月球做体操,打死算球,null,2017-5-28,
女神范的smile-8,之前还看过一个小女孩打赏主播转走家长十几万还是二十多万的，现在的小孩子不得了，手机支付要预防陷阱，还要放家里的熊孩子啊！愿各位家长警醒,null,2017-5-28,
TaT-小春,关爱钱包，远离“农药”,null,2017-5-28,
热河总督01,@臭不要脸的粑粑蛋儿,null,2017-5-28,
臭椿很胖胖,这孩子怎么教育的啊,null,2017-5-28,
rishihin,这个母亲也有病 全部的工资为什么要在一个卡上还跟手机绑定了,null,2017-5-28,
不呀不着调儿,熊孩子，妈妈多伤心啊。承认错误吧,null,2017-5-28,
H____annah,@小白兔的耳朵没了,null,2017-5-28,
阿大啊啊啊啊,@刘宇若然,null,2017-5-28,
昝吉祥,农药毒死人,null,2017-5-28,
球球的萌萌妈,孩子竟然没有一点觉得自己做错了,null,2017-5-28,
The-bh,主播还是可以的,null,2017-5-28,
耳听求是,没教育好，往死里揍一顿,null,2017-5-28,
临沂萄丰源生态葡萄农庄,说是熊孩子简直侮辱熊孩子这个词语,null,2017-5-28,
她的名字我的软肋,这孩子废了。。12岁就已经这样撒谎了,null,2017-5-28,
你咋这么慢乜,打死他,null,2017-5-28,
佳运常平,哪里来的密码,null,2017-5-28,
崔巍-筱筱巴巴,这个时候应该上个带指纹支付的手机，搞定,null,2017-5-28,
moslem吕,辛辛苦苦竞养了一个败家子！悲哀呀！,null,2017-5-28,
布鲁伯伊,实名制吧，没什么好说的，个人是不玩王者的,null,2017-5-28,
隔壁丶老黄丶,可能需要回炉重铸,null,2017-5-28,
移动酒仓郑大傻,想想很多游戏、网络比快播还....,null,2017-5-28,
夕阳照进烟火,家穷不更应该争气吗,null,2017-5-28,
点点爱一次,教育问题是困扰我们这一代人的问题,null,2017-5-28,
一枝大柳絮,南宁的,null,2017-5-28,
ze晓ze孛相,良心主播,null,2017-5-28,
果然翁果然,限制民事行为能力人实施的法律行为效力待定，需要经过监护人的追认，监护人拒绝追认的合同无效，通过法律途径很简单就能解决了吧,null,2017-5-28,
北马道里唱秦腔,网监部门监管有问题，是否制定条款，但凡非需要有游戏角色身份的，要求每个玩家建立账号必须实名和身份证模式，达不到年龄要求不允许有账号。中国很多少年没有辨别是非意识，只为一时欲望和虚荣心。社会，家庭，学校等各方面原因让一些孩子行为和意识有了偏差。其实我想说的还有很多……,null,2017-5-28,
玄卿是晶晶,12岁还是限制民事行为能力人，走法律途径可以追回的吧,null,2017-5-28,
Cloriscl,教育很重要啊,null,2017-5-28,
L-紅紅紅紅紅紅,劣根,null,2017-5-28,
