#11岁小学生打赏男主播#,,,,
username,comment,interact,date,likes
羽毛宇宙好看的N酱,问一个11岁小女孩喜不喜欢自己，怕不是变态死恋童癖呢w这边建议哥哥原地爆炸呢,null,4-11 23:02,2
茶茶酱的三茶六饭,@Casrsik 克拉克拉的,null,4-11 22:47,
胖虎头好大,@Fiona_710eme,null,4-11 22:42,
今天YY倒闭了吗,建议封禁该主播账号@克拉克拉KilaKila,null,4-11 21:58,
她的隆猫,只想说，真有钱！,null,4-11 21:56,
人间黑白_O,妈耶 有钱自己不花...,null,4-11 21:53,
儿科医生崔咏望,主播说到动情处竟有点无语凝噎，这么好的苗子不进娱乐圈真浪费了,null,4-11 21:53,
twinklexo,经济实力不允许我这么做,null,4-11 21:50,
与我Anu,HAC无聊妹妹,null,4-12 02:39,1
亚哈随鲁33,好孩子，有出息！,null,4-11 23:09,1
注定是过客00,有钱人,null,4-12 20:37,
皮Q打老K,未成年人保护法怎么没有用了，都是不满12周岁呀,null,4-12 11:47,
眠眠塔塔眠塔塔,该，叫你给小孩玩手机！！！PS羡慕有有钱人，信用卡都可以刷个一百四十万,null,4-12 11:06,
污力菲菲,现在有钱人珍素多。。。,null,4-12 10:04,
Jamie_自言自语,@大棵YanG白菜 小孩真有钱,null,4-12 08:50,
叁三山川,钱真多,null,4-12 07:41,
爱丽魔力,平台肯定不会退，那如果成年人打赏的，后悔了，叫家里小孩认罪。人家生意就没法做了哇,null,4-12 07:38,
Special_Exception,666。。,null,4-12 03:31,
小浪包呦,@克拉克拉KilaKila 还钱,null,4-12 02:33,1
ACE4444,我花一块钱，也有短信通知的,null,4-12 01:31,
A斯恩森达,差距,null,4-12 00:48,
煵星辰,有钱人的世界我不懂，随便打赏都是百万数，而且还是11岁，你爹妈真有钱，话说你怎么知道密码的？,null,4-12 00:38,
热心村民何结花,666不缺钱的这家人 大家散了吧,null,4-12 00:25,
都不重要咯,活该啊，父母把那么重要的银行卡这么随意处置，有什么可惜的 有钱难买您千金乐意！,null,4-12 00:12,
划船不用桨OR全靠浪,不满16岁 可以退,null,4-11 23:59,
鹿邑人,难道支付都不用密码吗？,null,4-11 23:49,
Neonsigns,这诱导甚至威胁也太明显了吧，证据充足的话感觉可以告赢,null,4-11 23:44,1
屋宇无语,有140万的小孩。。。不得了,null,4-11 23:35,
大邳帝国昕,家里有矿,null,4-11 23:33,
popking69,这些打赏直播早就应该禁绝,null,4-11 23:22,
姜江浆酱0731,限制行为能力人作出的民事法律行为，未经监护人追人，无效,null,4-11 23:21,
小小小V啊,p2p示范企业团贷网爆雷，22w出借者合法财产收到巨大损失？团贷获得过国家高新技术企业、普惠金融荣誉奖项，曾在央视获得过3·15奖项，并且是中国互联网金融协会理事，东莞市政府也曾多次考察和表彰团贷网。‪我们是在媒体政府和权威机构影响下认可了团贷网这个平台。一个明星企业一夜成了非法机构！‬,null,4-11 23:16,1
_胖胖鸠,在我家永远不会发生这样的事@喵呜嗷喵嗷,null,4-11 23:08,
Varney_Moon_Anna,如果是我 我有可能会揍这孩子,null,4-11 23:00,
吴小蛮_Amy,我信用卡额度就五千，，没脸见人啊,null,4-11 22:51,
柒鹿_鹿柒,夷陵老祖。。。enm,null,4-11 22:44,
何啊个小小,现在的小学生受科技产品影响太大了，心思都浪费在这了时代变了,null,4-11 22:40,
ceiling多多,好坏啊,null,4-11 22:38,
陈沫存,@有钱人发言bot 这个适合at你,null,4-11 22:35,
我是菜菜法师,还好几个主播 这样骗小孩子的钱！太过分了！,null,4-11 22:34,
唐唐唐唐先生,所以不要让未成年人玩手机啊,null,4-11 22:27,
夜色渔港,这种平台就是给乞讨的人提供的。,null,4-11 22:27,
曾嘉豪Jayhaw,信用卡额度真高,null,4-11 22:25,
绿裙子村姑,信用卡限额那么多啊,null,4-11 22:19,
黑化肥会发灰123,家里有矿的,null,4-11 22:19,
小涵绿子,@被嫌弃的六子的一生 @芝士Lindsey 未来:我女儿刷卡打赏20元被我吊起来打？,null,4-11 22:18,
sandy米,作业布置的太少了,null,4-11 22:15,
_2728x_,太棒了,null,4-11 22:14,
abbyjojo,这也是有钱啊，四个月才发现,null,4-11 22:13,
SOBEAUTYou,厉害了，骚年！,null,4-11 22:11,
牡羊座宝宝,好有钱啊,null,4-11 22:07,
影评人华哥,该整顿了，网红主播现象不利于青少年价值观的形成，需在一定程度上控制，甚至遏制！,null,4-11 22:07,
浮海521,夷陵老祖……,null,4-11 22:05,
互相关注QAQ,未成年呀！肯定得全退啊@人民日报,null,4-11 22:05,
Mr-Asteria,这种新闻报道多少次了。。。。。。,null,4-11 22:03,
美美的橙子Z,克拉克拉,null,4-11 22:02,
优然而见而见,起诉,null,4-11 21:58,
TheOne王,这是为洗钱打广告？,null,4-11 21:58,
呐2017,家里有钱不说、刷了140万了家人居然没发现？？？真是奇迹............,null,4-11 21:57,
被逆推的我,哦~深圳 那就不奇怪了……,null,4-11 21:57,
Kwokhin_Hung,可以参考报警！,null,4-11 21:55,
真让人脑瓜子疼,11岁有行为民事能力？,null,4-11 21:55,
龙-rwl,说句不好听的，这些平台的女主播就是卖胸，卖肉，卖唱，尬聊，卖弄骚只。,null,4-11 21:54,
蜀國小帥,,null,4-11 21:54,
她的猫喵喵喵喵喵,看看额度只有三万块的我……哎……人比人，气死人,null,4-11 21:54,
闭月修花13,直播平台应该规范一下，对于未成年人，要有一定的保障措施，否则酿成大祸家人哭死,null,4-11 21:53,
思浩健,应该说：平台居然退这么多！,null,4-11 21:53,
Henry小柒,哇真有钱。。。,null,4-11 21:53,
春天来了你还想我吗,家里反正发不完的钱，用了就用，退什么退,null,4-11 21:52,
纳兰若雪000,谁知道是女孩父亲打赏的，还是女孩，还是女孩妈妈,null,4-11 21:52,
曾经得小样,家里属实有条件。。。,null,4-11 21:52,
A-L-DongDong,@有钱人发言bot,null,4-11 21:51,
_JasonZh_,家里有钱！还呗！能刷这么多钱的信用卡我是没有的,null,4-11 21:51,
死硬番动派零号,可以起诉，未成年人不是完全行为能力人，他们的行为在法律范畴内都是可以商量的,null,4-11 21:50,
山东汉字119,直播误国,null,4-11 21:50,
晚安的情话只对你说,有钱真好,null,4-11 21:49,
刘Pinky_WNGD0007642,转发微博,null,5-5 23:02,
诺弈X,流水账 花这么多，不知道嘛，还是这张卡给女孩 零花钱用的。平台固然不对。自身父母也带其原因。主播靠什么获取收益 不就是像别人索要礼物嘛，主播 若清楚 刷礼物的是小女孩，当属主播的错。 在进行刷礼物的同时，小女孩 心中 不也得到 心中的开心了嘛。这个钱必然可以要到的。看主播 后看平台,null,4-17 09:21,
Lovemelikeyoudo-YLJ,@H-杨翎捷,null,4-12 21:41,
努力实现O锅锅的大梦想,刷信用卡不用密码？,null,4-12 19:13,
农优会飞马,这个钱可以不退（因为矿主老婆应该长记性），但市场监管部门应处以双倍罚款。,null,4-12 14:39,
gmwpmdpa,能让我看看达芬奇多帅吗…,null,4-12 10:43,
sleazyartist,@rankup,null,4-12 07:08,
蟹黄堡主,可怕，现在的孩子啊，都是怎么了作业太少了吗？？？,null,4-12 02:17,
小阿舒,夷…夷陵老祖…,null,4-11 23:47,
大份麦乐鸡,哈哈如果是女主播这里肯定有一堆人骂女主播是🐔之类的了，难得评论区这么和谐,null,4-11 23:43,
倒霉事都离我远点,广告？？？,null,4-11 23:41,
